"Statistic Label","Year","Sex","Type of Procedure","Area","UNIT","VALUE"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Tipperary","Rate","2.05"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Waterford","Rate","4"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Wicklow","Rate","5.43"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Westmeath","Rate","4.36"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Co. Wexford","Rate","6.3"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Ireland plus non-residents","Rate","4.47"
"Average Length of Stay","2020","Both sexes","Procedures on endocrine system","Ireland","Rate","4.47"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Clare","Rate","4.36"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Cork","Rate","2.09"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Cavan","Rate","1.3"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Carlow","Rate","1.33"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Donegal","Rate","2.27"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Dublin","Rate","2.79"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Galway","Rate","3.36"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Kildare","Rate","3.95"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Kilkenny","Rate","2.38"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Kerry","Rate","1.81"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Longford","Rate","4.5"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Louth","Rate","2.89"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Limerick","Rate","2.13"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Leitrim","Rate",""
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Laois","Rate","1.58"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Meath","Rate","4.39"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Monaghan","Rate","5.2"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Mayo","Rate","3.45"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Offaly","Rate","1.89"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Roscommon","Rate",""
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Sligo","Rate",""
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Tipperary","Rate","1.79"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Waterford","Rate","1.67"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Wicklow","Rate","4"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Westmeath","Rate","3.29"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Co. Wexford","Rate","2.18"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Non-residents","Rate",""
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Ireland plus non-residents","Rate","2.62"
"Average Length of Stay","2020","Both sexes","Thyroidectomy","Ireland","Rate","2.62"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Clare","Rate","2.47"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Cork","Rate","2.82"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Cavan","Rate","1.47"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Carlow","Rate","2.5"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Donegal","Rate","3.02"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Dublin","Rate","3.11"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Galway","Rate","7.15"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Kildare","Rate","1.88"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Kilkenny","Rate","2.22"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Kerry","Rate","2.62"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Longford","Rate","1.5"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Louth","Rate","2.16"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Limerick","Rate","2.42"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Leitrim","Rate","1.75"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Laois","Rate","1.65"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Meath","Rate","2.17"
"Average Length of Stay","2020","Both sexes","Procedures on eye & adnexa","Co. Monaghan","Rate","8.04"
